,Id,Class/Group,Subject,Absence
291,443095,Web19w1,Interface Design,66.67%
292,703392,Web19w1,Interface Design,66.67%
293,207562,Web19w1,Interface Design,66.67%
294,272447,ITS18a,IT Governance 2,0%
295,514653,Web and Soft Electives,Web Security,36.11%
296,107766,SD19w1,Test,37.93%
297,540365,SD18i,System Integration,0%
298,347670,Web and Soft Electives,Web Security,55.56%
299,628523,Web and Soft Electives,Web Security,16.67%
300,469197,Web and Soft Electives,Web Security,16.67%
301,579153,ITS18a,IT Governance 2,0%
302,212186,SD19w1,Test,41.38%
303,684508,Web and Soft Electives,Web Security,36.11%
304,301757,ITS18a,IT Governance 2,0%
305,523463,SD19w1,Test,31.03%
306,917359,Web and Soft Electives,Web Security,52.78%
307,799408,SD18i,System Integration,0%
308,587068,ITS19w1,Net. and Com. security,25%
309,636158,Web19w1,Interface Design,66.67%
310,305265,Web19w1,Interface Design,66.67%
311,878517,Web19w1,Interface Design,66.67%
312,774783,Web19w1,Interface Design,66.67%
313,622904,Web19w1,Interface Design,66.67%
314,573377,Web and Soft Electives,Web Security,16.67%
315,822944,SD18i,System Integration,0%
316,920332,Web19w1,Interface Design,33.33%
317,749091,ITS18a,IT Governance 2,0%
318,994560,ITS18a,IT Governance 2,0%
319,796984,SD18i,System Integration,0%
320,458246,Web and Soft Electives,Web Security,16.67%
321,470386,Web and Soft Electives,Web Security,33.33%
322,920684,Web and Soft Electives,Web Security,16.67%
323,643834,Web and Soft Electives,Web Security,16.67%
324,334312,SD19w1,Test,51.72%
325,147899,ITS19w1,Net. and Com. security,37.5%
326,321954,ITS18a,IT Governance 2,0%
327,463299,Web and Soft Electives,Databases,0%
328,507209,Web and Soft Electives,Databases,50%
329,679854,Web and Soft Electives,Databases,50%
330,236930,Web and Soft Electives,Web Security,33.33%
331,331160,SD18i,System Integration,0%
332,828212,Web and Soft Electives,Databases,0%
333,709072,SD19w1,Test,10.34%
334,298679,ITS18a,IT Governance 2,0%
335,598019,SD18i,System Integration,0%
336,882972,Web and Soft Electives,Web Security,36.11%
337,637923,ITS19w1,Net. and Com. security,50%
338,676326,ITS19w1,Net. and Com. security,37.5%
339,866202,SD18i,System Integration,0%
340,128523,SD18i,System Integration,0%
341,678695,Web and Soft Electives,Databases,0%
342,285846,Web19w1,Interface Design,33.33%
343,359839,Web19w1,Interface Design,33.33%
344,234843,Web and Soft Electives,Web Security,0%
345,652072,Web and Soft Electives,Web Security,33.33%
346,534870,Web and Soft Electives,Web Security,0%
347,199496,Web and Soft Electives,Web Security,16.67%
348,745405,Web and Soft Electives,Databases,0%
349,115992,SD18i,System Integration,0%
350,547214,Web and Soft Electives,Databases,0%
351,912277,Web and Soft Electives,Databases,0%
352,666744,Web and Soft Electives,Databases,0%
353,287874,ITS19w1,Net. and Com. security,25%
354,920791,SD18i,System Integration,100%
355,173685,SD18i,System Integration,0%
356,212503,SD19w1,Test,20.69%
357,941580,ITS18a,IT Governance 2,0%
358,647586,ITS18a,IT Governance 2,0%
359,185214,Web19w1,Interface Design,33.33%
360,614430,Web19w1,Interface Design,33.33%
361,656669,Web19w1,Interface Design,33.33%
362,638449,Web19w1,Interface Design,33.33%
363,659770,Web19w1,Interface Design,33.33%
364,714980,SD19w1,Test,20.69%
365,357089,Web and Soft Electives,Web Security,2.78%
366,873253,SD18i,System Integration,0%
367,658419,ITS18a,IT Governance 2,0%
368,110311,Web and Soft Electives,Databases,0%
369,364504,SD18i,System Integration,0%
370,750224,Web and Soft Electives,Web Security,2.78%
371,769577,Web and Soft Electives,Web Security,0%
372,730001,Web and Soft Electives,Web Security,0%
373,140798,Web and Soft Electives,Databases,50%
374,162461,Web and Soft Electives,Databases,0%
375,255002,SD19w1,Test,20.69%
376,675805,SD19w1,Test,20.69%
377,648071,ITS18a,IT Governance 2,0%
378,189551,SD19w1,Test,10.34%
379,861602,Web and Soft Electives,Databases,0%
380,381976,Web and Soft Electives,Databases,0%
381,448115,Web and Soft Electives,Databases,0%
382,423691,Web and Soft Electives,Databases,0%
383,435434,SD19w1,Test,22.22%
384,730523,SD19w1,Test,10.34%
385,493985,SD19w1,Test,0%
386,415804,SD19w1,Test,17.24%
387,714716,ITS19w1,Net. and Com. security,12.5%
388,840169,Web and Soft Electives,Databases,0%
389,467830,SD18i,System Integration,0%
390,220970,Web and Soft Electives,Databases,0%
391,491124,Web and Soft Electives,Databases,0%
392,795513,SD18i,Quantum Computing,0%
393,446063,ITS18a,IT Governance 2,0%
394,200123,SD19w1,Test,0%
395,783966,SD19w1,Test,10.34%
396,580861,SD19w1,Test,0%
397,642754,SD19w1,Test,10.34%
398,293145,SD19w1,Test,0%
399,809897,SD19w1,Test,20.69%
400,395073,SD18i,System Integration,0%
401,175927,ITS18a,IT Governance 2,0%
402,329450,ITS19w1,Net. and Com. security,0%
403,663094,Web and Soft Electives,Web Security,0%
404,287195,Web and Soft Electives,Web Security,0%
405,729082,Web and Soft Electives,Web Security,0%
406,893970,Web and Soft Electives,Web Security,0%
407,642964,Web and Soft Electives,Databases,0%
408,707742,SD19w1,Test,0%
409,541278,Web and Soft Electives,Databases,0%
410,690648,ITS19w1,Net. and Com. security,25%
411,813996,SD19w1,Test,0%
412,351020,SD19w1,Test,0%
413,828049,SD19w1,Test,1.72%
414,863970,SD18i,System Integration,0%
415,908589,SD18i,System Integration,0%
416,839114,Web19w1,Interface Design,0%
417,480068,SD19w1,Test,10.34%
418,130119,ITS18a,IT Governance 2,0%
419,400259,Web and Soft Electives,Databases,0%
420,769983,Web and Soft Electives,Databases,0%
421,460452,SD18i,System Integration,0%
422,643901,SD19w1,Test,0%
423,296996,SD19w1,Test,0%
424,610938,SD19w1,Test,10.34%
425,295223,SD18i,System Integration,0%
426,330334,Web19w1,Interface Design,0%
427,664331,Web19w1,Interface Design,0%
428,710120,ITS18a,IT Governance 2,0%
429,214327,ITS18a,IT Governance 2,0%
430,239722,ITS18a,IT Governance 2,0%
431,688021,ITS18a,IT Governance 2,0%
432,876210,SD19w1,Test,1.72%
433,662365,Web and Soft Electives,Web Security,0%
434,541705,Web and Soft Electives,Web Security,0%
435,189355,Web and Soft Electives,Web Security,0%
436,816107,Web and Soft Electives,Web Security,0%
437,586771,Web and Soft Electives,Web Security,0%
438,491038,SD18i,System Integration,0%
439,700477,ITS18a,IT Governance 2,0%
440,223338,ITS18a,IT Governance 2,0%
441,293438,ITS19w1,Net. and Com. security,0%
442,803561,Web19w1,Interface Design,0%
443,976720,Web19w1,Interface Design,0%
444,172012,Web19w1,Interface Design,0%
445,491703,Web19w1,Interface Design,0%
446,532264,Web19w1,Interface Design,0%
447,695323,SD18i,Big Data,100%
448,196127,SD18i,Software Design Patterns,100%
449,890965,SD18i,Data Science,100%
450,577358,SD18i,Quantum Computing,100%
451,247407,SD18i,Big Data,100%
452,873190,SD18i,Software Design Patterns,100%
453,268525,SD18i,Software Design Patterns,100%
454,296184,ITS19w1,System Security,100%
455,215571,ITS18a,Security Engineering,100%
456,542155,ITS18a,Security Engineering,100%
457,825970,ITS18a,Security Engineering,100%
458,543558,ITS19w1,System Security,100%
459,708074,SD19w1,Quantum Computing,100%
460,613200,ITS18a,Security Engineering,87.88%
461,615329,ITS18a,Security Engineering,100%
